Numéro d'ordre;Indiction;Année;Mois;Jour;Type d’acte;Titre;Prénoms;Nom;Domicile;Rôle;Notes;Lieu mentionné;Transcription;Page;Vue;Notaire;Ville;Releveur;Cote;URL
21;8;1580;3;22;Quittance;Quitansa di Gregorio Passerone da Antio et Pietro Daloni;Pierre;Dalloni;Lantosque;Partie 3;;;;20;23;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/23
22;8;1580;3;22;Mariage;Matrimonio di Bartholomeo de Pila & di Gio.ta figliola di fu Nicolao Cornillone;Barthélemy;de Pila;;Partie 1;;;;21;23;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/23
22;8;1580;3;22;Mariage;Matrimonio di Bartholomeo de Pila & di Gio.ta figliola di fu Nicolao Cornillone;Jeannette;Cornillione;;Partie 2;;;;21;23;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/23
22;8;1580;3;22;Mariage;Matrimonio di Bartholomeo de Pila & di Gio.ta figliola di fu Nicolao Cornillone;Nicolas †;Cornillione;;Partie 3;;;;21;23;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/23
23;8;1580;3;22;Mariage;Matrimonio di χρoforo di Pila & di Fran.ta figliola di fu Nicolao Cornillone;Christophe;de Pila;;Partie 1;;;;21;24;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/24
23;8;1580;3;22;Mariage;Matrimonio di χρoforo di Pila & di Fran.ta figliola di fu Nicolao Cornillone;Francette;Cornillione;;Partie 2;;;;21;24;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/24
23;8;1580;3;22;Mariage;Matrimonio di χρoforo di Pila & di Fran.ta figliola di fu Nicolao Cornillone;Nicolas †;Cornillione;;Partie 3;;;;21;24;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/24
24;8;1580;3;26;Achat;Compra di m.o Honorato Lanti da Ant.o Moissino & Landina giugali;Honoré;Lanti;Lantosque;Partie 1;;;;22;24;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/24
24;8;1580;3;26;Achat;Compra di m.o Honorato Lanti da Ant.o Moissino & Landina giugali;Antoine;Moissin;Lantosque;Partie 2;;;;22;24;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/24
24;8;1580;3;26;Achat;Compra di m.o Honorato Lanti da Ant.o Moissino & Landina giugali;Rolande;;;Partie 3;;;;22;24;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/24
